customer_id,rec_1,rec_2,rec_3,rec_4,rec_5
WMT_21456,Great Value Canola Oil 48oz,,,,
WMT_42376,Celery Stalk bunch,,,,
WMT_25215,Avocado Hass each,,,,
WMT_47173,Yellow Onion 3lb Bag,,,,
WMT_11892,Baby Carrots 1lb Bag,,,,
WMT_13832,Yellow Onion 3lb Bag,,,,
WMT_39484,Russet Potatoes 5lb Bag,,,,
WMT_44962,Green Bell Pepper each,Lemon each,Great Value Greek Yogurt Plain 32oz,,
WMT_42118,Great Value American Cheese Slices 16oz,,,,
WMT_42350,Celery Stalk bunch,,,,
WMT_03062,Marketside Organic Bananas 3lb,,,,
WMT_38064,Philadelphia Original Cream Cheese 8oz,,,,
WMT_43322,Celery Stalk bunch,Great Value Chicken Broth 32oz,,,
WMT_01284,Marketside Baby Spinach 5oz,Great Value 2% Reduced Fat Milk 1 Gal,,,
WMT_00030,Green Bell Pepper each,Marketside Baby Spinach 5oz,,,
WMT_09934,Marketside Organic Bananas 3lb,,,,
WMT_12632,Roma Tomatoes per lb,Great Value Spaghetti 16oz,,,
WMT_37051,Cucumber each,Marketside Organic Bananas 3lb,Philadelphia Original Cream Cheese 8oz,,
WMT_32538,Daisy Sour Cream 16oz,,,,
WMT_07863,Celery Stalk bunch,,,,
WMT_35289,Marketside Shredded Cheddar 8oz,,,,
WMT_23323,Great Value Sliced Bacon 16oz,,,,
WMT_19029,Russet Potatoes 5lb Bag,Great Value Whole Milk 1 Gal,,,
WMT_17603,Great Value American Cheese Slices 16oz,Great Value Whole Milk 1 Gal,,,
WMT_44315,Yellow Onion 3lb Bag,,,,
WMT_38568,Roma Tomatoes per lb,,,,
WMT_36336,Yellow Onion 3lb Bag,,,,
WMT_14464,Hunts Diced Tomatoes 14.5oz,,,,
WMT_18257,Baby Carrots 1lb Bag,,,,
WMT_22801,Cucumber each,Heinz Tomato Ketchup 32oz,Great Value Long Grain White Rice 5lb,,
WMT_29343,Great Value Spaghetti 16oz,,,,
WMT_11275,Green Bell Pepper each,Yellow Onion 3lb Bag,Philadelphia Original Cream Cheese 8oz,,
WMT_03517,Marketside Baby Spinach 5oz,,,,
WMT_06843,Great Value American Cheese Slices 16oz,,,,
WMT_11886,Great Value Canola Oil 48oz,,,,
WMT_35780,Great Value All Purpose Flour 5lb,,,,
WMT_07723,Great Value Extra Virgin Olive Oil 17oz,Great Value American Cheese Slices 16oz,,,
WMT_42964,Garlic Bulb 3-Pack,Roma Tomatoes per lb,,,
WMT_26981,Great Value Sugar Granulated 4lb,,,,
WMT_11893,Marketside Shredded Cheddar 8oz,,,,
WMT_26412,Baby Carrots 1lb Bag,,,,
WMT_04418,Great Value Greek Yogurt Plain 32oz,,,,
WMT_29159,Baby Carrots 1lb Bag,,,,
WMT_08895,Great Value Large Eggs 12ct,,,,
WMT_26826,Marketside Baby Spinach 5oz,Kraft Mac and Cheese Original 7.25oz,,,
WMT_29951,Garlic Bulb 3-Pack,Roma Tomatoes per lb,Marketside Organic Bananas 3lb,,
WMT_36631,Heinz Tomato Ketchup 32oz,,,,
WMT_01484,Hunts Diced Tomatoes 14.5oz,,,,
WMT_40200,Yellow Onion 3lb Bag,,,,
